Timestamp,How large is your organization?,How long have you been using MediaWiki?,How many MediaWiki sites do you manage?,Are your sites public or private?,Approximately how many people are there on your MediaWiki sites?,What MediaWiki Version are you currently using?,Which MediaWiki update cycle is closest to what you use?,"Of the extensions you use, which are your most essential?",Why do you use MediaWiki?,What would you like to see most improved in MediaWiki the software?,What would you like to see most improved in the community around MediaWiki?,Do you make contributions to the MediaWiki community?,"What barriers, if any, do you think exist to participation in the MediaWiki community? What can we do to help?"
7/9/2015 16:04:22,Fewer than 25 people,5+ years,More than 10,Mix of Both,More than 500 people,1.23 (Current LTS),Every 3 months,"BlueSpice
Semantic MediaWiki
LDAPAuthentication
FlaggedRevisions
CategoryTree
","It's flexible, I can set it up very quickly, and users do understand how to use it easily.",Extension Management and configuration from a webbased interface.,Visibility of extensions. How can I know which ones are good and widely used?,"I help with documentation, I contribute code to MediaWiki core, I contribute to extensions",Publishing an extension in a good way requires a rather complex setup. Can we make that easier?
7/10/2015 3:40:45,Fewer than 25 people,5+ years,More than 10,Mix of Both,More than 500 people,"Latest development build (master, 1.26+, WMF builds)",Every 6 months,"BlueSpice:
* VisualEditor 
* ExtendedSearch
* VisualDiff
* PermissionManager
Semantic MediaWiki
Semantic Forms",It's the leading open source MediaWiki and it open up possibilities for new extensions and  configurations ,The extension management,Clear regulations how developers can participate and which technologies are supported in the next years. ,I contribute to extensions,"MediaWiki development is focused on Wikipedia, which ignores the needs of thousands other users and hundreds other use cases."
7/10/2015 5:16:04,More than 500 people,5+ years,More than 10,Mix of Both,100-500 people,1.25,Every 3 months,"Semantic MediaWiki
Semantic Forms
Semantic Title
Title Icon
Scribunto
",Community knowledge building,Stable extension management with support for wiki farms,Roadmap/architecture/governance model,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support",
7/15/2015 10:25:49,Just Me,5+ years,5-10,Mix of Both,More than 500 people,1.25,Ever major release,,"* Sharing knowledge in an organisation
* Sharing information about a game
","Ease of sharing information, SMW Like features, stability in the software",Ease of joining,"I contribute feedback and bug reports, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support",
7/15/2015 10:29:28,Just Me,5+ years,More than 10,Mix of Both,100-500 people,1.23 (Current LTS),When needed,"ParserFunctions
Renameuser
User Merge and Delete
Echo
Thanks
SMW
Gadgets
InputBox","* easy to use
* available everywhere (webbased)
* expandable
* flexible information management (just start writing, re-arrange / expand / improve later)
* all information in one place -> search","* put some standard admin function into core (rename / merge users, spam stuff)
* auto-updater for extensions - eg. Wordpress
* getting rid of external services (eg. nodejs for VE)","* a better visibility of the non-WMF developer community
* more active / more in charge external developer community","I contribute feedback and bug reports, I contribute to extensions",WMF development feels much like a closed shop
7/15/2015 11:25:33,Fewer than 25 people,5+ years,2-5,Public,Not Sure,1.25,When needed,"ConfirmEdit
",Because it replaced phase1 / wiki.pl  and was PHP based.,Creating new skins and replacing the background must be easier for end-users.,It should start to care about the needs of 3rd party (non-WMF) users and it's own projects that are not just Wikipedia.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions, I help answer questions and provide support","Use the same medium as users, wiki and IRC. Avoid Google docs."
7/15/2015 11:31:02,25-100 people,1-2 years,2-5,Mix of Both,Fewer than 25 people,"1.24, 1.23 (Current LTS)",Every security release,"Breadcrumbs,BetaFeatures,MultimediaViewer,EmbedVideo,Replace Text",Web based document collaboration (sharing editing duties).,"We need the Visual Editor to be stable and working in an LTS or stable build. Currently, I cannot get it working (1.23 LTS, 1.24). The editing experience (wiki markup) is what puts many people off editing/authoring.",,,
7/15/2015 11:38:13,More than 500 people,5+ years,5-10,Mix of Both,More than 500 people,1.24,Every security release,"ParserFunctions,DynamicPageList (third-party),LdapAuthentication,MWSearch,OAI,CategoryTree,CirrusSearch,SyntaxHighlight_GeSHi,TitleKey
",It's has been the primary intranet system at Cimpress/Vistaprint for sharing knowledge since 2007. It is low-cost and scalable. The wiki model is ideal for an educated community of users.,"(1) Continue developing VisualEditor until it's bulletproof. (2) Allow categories to be renamed and deleted with single, simple operations. (3) Fix numbered lists so you can insert other wikitext into the middle of a list (like images) and not break the numbering.",,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions, Financial donations",
7/15/2015 11:38:52,Just Me,5+ years,1,Public,25-100 people,1.24,Every minor point release,"Confirm User Accounts, Contribution Scores, External Links, Cite, CharInsert, ParserFunctions, Scribunto, SimpleMathJax, Gadgets, SandboxLink, WikiEditor",to run a wiki,shadow namespaces,better documentation,"I contribute feedback and bug reports, I help with documentation, I help answer questions and provide support",the preception is that WMF is interested only in MediaWiki for the WMF and not for outsiders
7/15/2015 11:49:13,,5+ years,1,Public,25-100 people,1.23 (Current LTS),Every minor point release,,"my main goal at begin was: create my personal learning space, see more at (1). The current mission for my wiki is at.","automatic updates
better spam protection",,I am in the irc channel + help people,
7/15/2015 11:50:48,Just Me,5+ years,0,Mix of Both,Fewer than 25 people,1.24,"OS Packaged version (e.g. Debian, Redhat)","SimpleSecurity, ParserFunctions, Lockdown, Cite, Poem",,,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support",
7/15/2015 11:52:35,More than 500 people,5+ years,1,Public,100-500 people,1.19,Every minor point release,"User Administration
Google Analytics Integration
Bad Behaviour
PDF Handler
Facebook Open Graph for Mediawiki",To support a cultural archive site for a not-for-profit foundation,"Clearer direction and configuration for anti-spamming techniques, though this will vary ending on the spectrum of public to private participation.","Continued improvements to the organisation of developer materials, and perhaps even the possibly of offering hosted platforms to facilitate take-up for potential users.",I contribute feedback and bug reports,"In honesty, the community is fairly open, possibly even more so that the Wikipedia community at large. However, for newcomers, the organisation and sprawl within the mediawiki project is a little disconcerting. It has improved greatly in recent times though"
7/15/2015 11:53:55,Fewer than 25 people,3-5 years,1,Public,Fewer than 25 people,1.24,When needed,"OpenID, Interwiki, ImageMap, Widgets, ParserFunctions","Familiarity, Completeness",Enable multi-site searching.,Prompt alerts and advice for spam and intrusion prevention.,I contribute feedback and bug reports,
7/15/2015 11:54:23,Just Me,5+ years,More than 10,Mix of Both,25-100 people,"1.24, 1.23 (Current LTS)",Every minor point release,"AdminLinks,
Arrays,
BreadCrumbs,
CategoryTree,
CharInsert,
Cite,
ConfirmEdit,
DataTransfer,
Echo,
Flow,
Gadgets,
HeaderTabs,
HitCounters,
InputBox,
InterWiki,
MagicNoCache,
Lockdown,
Loops,
Maps,
MediaFunctions,
ParserFunctions,
RenameUser,
ReplaceText,
Scribunto,
Semantic Compound Queries,
Semantic Extra Special Properties,
Semantic Forms,
Semantic Maps,
Semantic MediaWiki,
Semantic Result Formats,
Thanks,
TitleKey,
Variables,
Widgets,
WikiEditor,",It is great and powerful software that offers very many opportunities to build a tailored wiki.,"file handling (ClipUpload etc.), access control (Lockdown etc.)",There should be somebody for community liaison (as well as editor in chief) on mediawiki.org too. At least I am not aware of any person doing such thing. mediawiki.org is basically an abandoned wiki.,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support","See above. There is basically nobody (dedicated person) listening if you enter via mediawiki.org. I just depends if there is a good WMF product manager around (this group is by far the worst), an involved person on the support page or a good extension maintainer if you want to get heard. To cut it short: There is nobody taking care of the unanswered rest, i.e. someone who could give pointers to some directions."
7/15/2015 11:58:11,More than 500 people,3-5 years,2-5,Private,100-500 people,"Latest development build (master, 1.26+, WMF builds)",When needed,"VisualEditor, LDAP Authentication, Semantic MediaWiki, Semantic Forms, External Data, Replace Text",It provides a easy way for co-workers to provide a low-friction way of sharing and finding information within our organization.,Easier install and upgrade process. Better backwards compatibility or help making sure extensions don't blow up with updates. ,More collaboration and involvement in the third-party MediaWiki community  from all users. More events about MediaWiki not directly tied to Wikipedia or other WMF-lead events.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I help answer questions and provide support, Community building","Way too developer/tech focused. There are many people who don't (or won't) spend the time trying to figure out MediaWiki with it's crazy dependencies and issues - composer, extensions are ill-supported, updates break things, newest (and best) editor requires more technical debt."
7/15/2015 12:39:24,Just Me,5+ years,1,Public,Just me,1.25,Every minor point release,"A custom, non-public spam blocking extension that hooks into my internal spam blocking system","I use MediaWiki in a similar fashion as Wikipedia, but as an ""encyclopedia"" exclusively for my comic strip and the rest of my site built around it. As of this writing, this wiki is publicly readable, but I am the only sysop and the sole contributor. MediaWiki makes this relatively easy, and having an interface familiar to my users (who are likely to already be familiar with Wikipedia) makes my wiki easier to use. (I once considered building my entire site around Wikipedia, but for reasons outlined in the following question, I'm glad I didn't go that route.)","MediaWiki does pretty much everything I expect and want from it. If I have any complaints, they are chiefly around much things change between releases. As an example, I had a significant problem upgrading from version 1.23 because of the complete restructuring of how skins were handled. I was using a custom skin which I had to abandon because I did not have time to completely rewrite it to fit with 1.24+. Fortunately, I was able to work around this by using MediaWiki's built-in custom CSS and JavaScript functionality, but I wasted a full day trying to figure out how this worked. Such a major restructuring in a ""minor point release"" is an annoyance, and I don't think it was communicated well to downstream, non-WikiMedia users of MediaWiki. MediaWiki development seems to be very fast and volatile, making building a third-party site based upon it a risky and difficult process. Non-WikiMedia users are left to fend for themselves as the software seems to change at the slightest whim of Wikipedians.","This has been brought up on the mailing lists before, but it would be nice if the development around MediaWiki were less Wikipedia-centric and took more into consideration the needs of MW users outside WikiMedia. While we all understand that Wikipedia is the chief user and poster child for the software, by releasing it for others to use WikiMedia now has an obligation to listen to its outside users. Bug reporting and handling isn't the issue there, but adding or changing features requires better coordination and communication.",,"Unfortunately, the main barriers that prevent my personal participation are my own constraints on time and other obligations. While I try to contribute to answering questions on the mailing lists from time to time, they usually get answered by someone more knowledgeable than me by the time I finally get around to them. I'm afraid there's not much I could offer in ways to improve participation at this time."
